code,name,group,p_advance,p_win_group,p_R16,p_QF,p_SF,p_final,p_champion,p_g1,p_g2,p_g3,p_g4
AUS,Australia,D,0.9564,0.2104,0.4641,0.1219,0.0431,0.0106,0.0029,0.2104,0.6205,0.1512,0.0179
NOR,Noruega,I,0.9316,0.0744,0.4254,0.1376,0.0356,0.009,0.0018,0.0744,0.4962,0.4262,0.0032
IRN,Iran,G,0.6404,0.1988,0.3338,0.1028,0.0324,0.0078,0.0016,0.1988,0.2553,0.3958,0.1501
CIV,Costa de Marfil,E,0.9669,0.1697,0.3792,0.0898,0.02,0.0038,0.0006,0.1697,0.6898,0.1338,0.0067
EGY,Egipto,G,0.7968,0.209,0.3368,0.0746,0.018,0.0042,0.0006,0.209,0.3824,0.2678,0.1409
ECU,Ecuador,E,0.6544,0.0096,0.2104,0.062,0.0124,0.002,0.0004,0.0096,0.1415,0.7072,0.1417
CAN,Canada,B,0.6702,0.2476,0.2423,0.0704,0.0106,0.002,0.0004,0.2476,0.2536,0.2802,0.2186
SCO,Escocia,C,0.791,0.1159,0.1892,0.0559,0.0115,0.0024,0.0002,0.1159,0.221,0.6392,0.024
COD,RD Congo,K,0.5071,0.0635,0.0965,0.0214,0.0042,0.0004,0.0001,0.0635,0.1918,0.3841,0.3606
BIH,Bosnia y Herzegovina,B,0.5076,0.127,0.1332,0.0279,0.0035,0.0003,0.0001,0.127,0.2006,0.2899,0.3826
QAT,Catar,B,0.6226,0.1708,0.1888,0.0448,0.0056,0.0009,0.0001,0.1708,0.2796,0.2557,0.2939
TUR,Turquia,D,0.3554,0.0098,0.087,0.018,0.0038,0.0007,0.0,0.0098,0.0794,0.4623,0.4486
KSA,Arabia Saudi,H,0.4408,0.0592,0.0597,0.012,0.0024,0.0001,0.0,0.0592,0.1746,0.3236,0.4426
ALG,Argelia,J,0.4703,0.001,0.1076,0.0306,0.0048,0.0008,0.0,0.001,0.1909,0.5454,0.2628
GHA,Ghana,L,0.661,0.0231,0.1732,0.0449,0.0064,0.0009,0.0,0.0231,0.249,0.6754,0.0526
PAR,Paraguay,D,0.3042,0.0052,0.062,0.0081,0.0018,0.0002,0.0,0.0052,0.1088,0.3542,0.5318
HAI,Haiti,C,0.0412,0.0018,0.0028,0.0001,0.0,0.0,0.0,0.0018,0.0052,0.0525,0.9406
CZE,Chequia,A,0.3908,0.0136,0.1143,0.021,0.0027,0.0005,0.0,0.0136,0.0874,0.4749,0.424
RSA,Sudafrica,A,0.3057,0.0056,0.0792,0.0114,0.0016,0.0003,0.0,0.0056,0.1048,0.3384,0.5512
CPV,Cabo Verde,H,0.5043,0.0691,0.0648,0.0129,0.0024,0.0002,0.0,0.0691,0.2382,0.3038,0.389
NZL,Nueva Zelanda,G,0.2119,0.0228,0.0325,0.0024,0.0001,0.0,0.0,0.0228,0.0799,0.22,0.6772
CUW,Curazao,E,0.0685,0.0007,0.0049,0.0004,0.0,0.0,0.0,0.0007,0.0238,0.1244,0.8511
TUN,Tunez,F,0.0783,0.0062,0.0118,0.002,0.0002,0.0,0.0,0.0062,0.0171,0.1134,0.8632
JOR,Jordania,J,0.102,0.0003,0.0148,0.0018,0.0002,0.0,0.0,0.0003,0.0124,0.256,0.7314
IRQ,Irak,I,0.0299,0.0001,0.0047,0.0006,0.0,0.0,0.0,0.0001,0.0032,0.0721,0.9245
UZB,Uzbekistan,K,0.3757,0.0586,0.069,0.0138,0.0018,0.0,0.0,0.0586,0.1344,0.2904,0.5165
PAN,Panama,L,0.0706,0.0008,0.0118,0.0029,0.0004,0.0001,0.0,0.0008,0.0206,0.0904,0.8882
